completed,oid,taxon,mbNumber,guid,CORRECT_taxon,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,,,,,,,,
,59271667791497fd28ec2a31,Verrucula navasaria,532229,NA,Verrucula navasaria,20,Symbiotroph,Lichenized,Highly Probable,Microfungus,NULL,Lichenicolous lichen on Caloplaca navasiana,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,59271667791497fd28ec2a3e,Weddellomyces aspiciicola,360839,NA,Weddellomyces aspiciicola,20,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Lobothallia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,59271667791497fd28ec2a42,Weddellomyces geographicola,125585,,Weddellomyces geographicola,20,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Rhizocarpon,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,59271667791497fd28ec2a4b,Wernerella maheui,"c(436305, 446427)","C(194928A5-8F0E-4B4C-AE7C-1E4C218C7687,A33CC1EB-75C9-43E2-8C10-26A3882711BC)",Wernerella maheui,20,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Rinodina,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,59271667791497fd28ec2a50,Zwackhiomyces argentinae,292580,NA,Zwackhiomyces argentinae,20,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Acarospora,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,59271667791497fd28ec2a5d,Zwackhiomyces insconpicuus,NA,NA,Zwackhiomyces insconpicuus,20,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Myriolecis dispersa,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,59271667791497fd28ec2a64,Zwackhiomyces martinatianus,"c(125982, 126714)","C(D74D0587-7CF5-440D-91A3-F0C1C212194D,E65FE7DE-140A-475B-B913-35581B47660D)",Zwackhiomyces martinatianus,20,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Porpidia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))",,,,,,,,
,591a92f9791497fd28ec1ab9,Apoharknessia,500065,B4052D46-12B2-4D0A-975C-03BD5990C193,Apoharknessia,13,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Highly Probable,Microfungus,NULL,Isolated from leaves spots of Eucalyptus sp. (Lee et al. 2004),"Lee S, et al. 2004. Studies in Mycology 50:235-252 ((https://www.studiesinmycology.org/index.php/issue/52-studies-in-mycology-no-50))",,,,,,,,
,58f450ef791497fd28ebe4b3,Harknessia,8449,1CB1892A-36B9-11D5-9548-00D0592D548C,Harknessia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,Microfungus,NULL,"The genus includes around 60 species that range ecologically from being endophytes, to saprobes, or foliar pathogens (Lee et al. 2004)","Lee S, et al. 2004. Studies in Mycology 50:235-252 ((https://www.studiesinmycology.org/index.php/issue/52-studies-in-mycology-no-50)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",,,,,,,,
,5b724b16fb6fc01094bd8a1f,Dinomyces,807621,F41C4F20-738E-45C2-915F-D52CC4B1B662,Dinomyces,13,Pathotroph,Animal Pathogen,Possible,Microfungus,NULL,Parasitic to dinoflagellates,Lepelletier F. 2014. Protist 165:230-244 ((https://doi.org/10.1016/j.protis.2014.02.004)),,,,,,,,
,5965b8c3c80c5ec66f3ad839,Dinochytrium,813312,BD2632D6-A67A-4010-A157-1B28DA38ED89,Dinochytrium,13,Pathotroph,Protistan Parasite,Highly Probable,Thallus,NULL,Parasite of the dinoflagellate Peridinium gatunense,"Leshem T, et al. 2016. Mycologia 108:731-743 ((https://doi.org/10.3852/15-197))",,,,,,,,
,5965b8c3c80c5ec66f3ad838,Dinochytrium kinnereticum,813313,8F7CA58F-D8E4-499B-99C4-62FD06F44F05,Dinochytrium kinnereticum,20,Pathotroph,Protistan Parasite,Highly Probable,Thallus,NULL,Parasite of the dinoflagellate Peridinium gatunense,"Leshem T, et al. 2016. Mycologia 108:731-743 ((https://doi.org/10.3852/15-197))",,,,,,,,
,5b724967fb6fc01094bd8921,Coralloidiomyces,506748,745E5825-AC96-46B1-B36D-A042CBD504E0,Coralloidiomyces,13,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Letcher PM, et al. 2008. Mycologia 100:325-334 ((https://doi.org/10.1080/15572536.2008.11832488))",,,,,,,,
,591a92f9791497fd28ec1ab1,Angulomyces,511779,959AC54E-F1E1-4150-AC4F-888B11BC63A7,Angulomyces,13,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,Isolated from aquatic environments by pollen baiting (Letcher et al. 2008),"Letcher PM, et al. 2008. Mycological Research 112:759-782 ((https://doi.org/10.1016/j.mycres.2008.01.025))",,,,,,,,
,591a92f9791497fd28ec1aba,Aquamyces,511778,53DD7103-B1A4-49B2-B32D-F63E7D73A816,Aquamyces,13,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,Isolated from freshwater environments by pollen baiting (Letcher et al. 2008),"Letcher PM, et al. 2008. Mycological Research 112:759-782 ((https://doi.org/10.1016/j.mycres.2008.01.025))",,,,,,,,
,591a92f9791497fd28ec1ac5,Arizonaphlyctis,511799,95EE1DFB-2943-41A2-BBB0-53E2FBC19F8D,Arizonaphlyctis,13,Saprotroph,Soil Saprotroph,Highly Probable,Microfungus,NULL,From soil (Letcher et al. 2008),"Letcher PM, et al. 2008. Mycological Research 112:759-782 ((https://doi.org/10.1016/j.mycres.2008.01.025))",,,,,,,,
,591a92f9791497fd28ec1aa3,Alphamyces,511785,111AF569-2B89-4852-A16C-590F1176BBF7,Alphamyces,13,Saprotroph,Undefined Saprotroph,Probable,Microfungus,NULL,From aquatic habitats (Letcher et al. 2012),"Letcher PM, et al. 2012. Nova Hedwigia 94:9-29 ((https://doi.org/10.1127/0029-5035/2012/0094-0009))",,,,,,,,
,591a92f9791497fd28ec1af8,Betamyces,561196,4DBA1F54-366F-4964-87A3-EFAA5C076BD4,Betamyces,13,Pathotroph-Saprotroph,Plant Pathogen,Possible,Microfungus,NULL,Isolated from freshwater environments by pollen baiting (Letcher et al. 2012),"Letcher PM, et al. 2012. Nova Hedwigia 94:9-29 ((https://doi.org/10.1127/0029-5035/2012/0094-0009))",,,,,,,,
,58f450ef791497fd28ebebc9,Myriogenospora,3371,056DD8AC-477F-4813-937F-CA4E1016CCCC,Myriogenospora,13,Pathotroph-Symbiotroph,Clavicipitaceous Endophyte-Epiphyte-Plant Pathogen,Possible,NULL,NULL,NULL,"Leuchtmann A. 2003. Taxonomy and diversity of Epichloe endophytes. The Clavicipitalean Fungi Evolutionary Biology, Chemistry, Biocontrol, and Cultural Impacts. Marcel Dekker, New York, Eds White Jr. JF, Bacon CW, Hywel-Jones N, J. Spatafora J. pp. 169-194 ((https://www.researchgate.net/publication/258240133_Taxonomy_and_Diversity_of_Epichloe_Endophytes)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)) ((Pathogen));",,,,,,,,
,58f450ef791497fd28ebe5e1,Hyperdermium,28464,5F6A6BF8-A878-4EF7-AA20-6767ADCE3A93,Hyperdermium,13,Pathotroph-Symbiotroph,Animal Pathogen-Clavicipitaceous Endophyte,Possible,NULL,NULL,NULL,"Leuchtmann A. 2003. Taxonomy and diversity of Epichloe endophytes. The Clavicipitalean Fungi Evolutionary Biology, Chemistry, Biocontrol, and Cultural Impacts. Marcel Dekker, New York, Eds White Jr. JF, Bacon CW, Hywel-Jones N, J. Spatafora J. pp. 169-194 ((https://www.researchgate.net/publication/258240133_Taxonomy_and_Diversity_of_Epichloe_Endophytes)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)) ((Pathogen));",,,,,,,,
,58f450ee791497fd28ebe169,Ephilis,NA,NA,Ephilis,13,Symbiotroph,Clavicipitaceous Endophyte,Possible,NULL,NULL,Endophyte detection method-culture (Lewis et al. 2002),"Lewis EA, et al. 2002. Mycologia 94:1066-1070 ((https://doi.org/10.1080/15572536.2003.11833162))",,,,,,,,
,590ca505734d1d5ecfe89270,Coniosporium epidermidis,512506,1CB1C57D-36B9-11D5-9548-00D0592D548C,Coniosporium,13,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,"The genus comprises environmental fungi forming black spots or patches on plant leaves, bamboo surface, rotten wood, and recently particularly on rock surfaces-Species are repeatedly isolated from human skin and nails and eventually causing mild cutaneous infections (Li et al. 2008)","Li DM, et al. 2008. Studies in Mycology 61:131-136 ((https://doi.org/10.3114/sim.2008.61.13))",,,,,,,,
,590ca441734d1d5ecfe890b9,,512506,2896228A-A70E-40B5-A5C2-3ABBBD951768,Coniosporium epidermidis,20,Pathotroph,Animal Pathogen,Highly Probable,Microfungus,NULL,Species are repeatedly isolated from human skin and nails and eventually causing mild cutaneous infections (Li et al. 2008),"Li DM, et al. 2008. Studies in Mycology 61:131-136 ((https://doi.org/10.3114/sim.2008.61.13))",,,,,,,,
,5913f1d1734d1d099dfda42c,Knufia,27605,659D1E78-4902-4989-9381-F8EACE16C555,Knufia,13,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph,Possible,Microfungus,NULL,"Species isolated from tumour-like stem and branch deformities of Populus tremuloides, bark of Populus, rocks, and clinical samples, with one species causes opportunistic skin infections in humans (Crous et al. 2013)","Li DM, et al. 2008. Studies in Mycology 61:131-136 ((https://doi.org/10.3114/sim.2008.61.13)); Crous PW, et al. 2013. Persoonia 31188-296; IIrinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))((https://doi.org/10.1093/mmy/myv008))",,,,,,,,
,5902d104791497fd28ec08c7,Knufia epidermidis,"c(563608, 565158)","C(67954A22-2F34-45E2-B74E-B9EDBFAE7FD2,C49FAD35-F708-40CC-89D7-67DA972AE250)",Knufia epidermidis,20,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015); Causes opportunistic skin infections in humans (Li et al. 2008),"Li DM, et al. 2008. Studies in Mycology 61131-136; Crous PW, et al. 2013. Persoonia 31:188-296 ((https://doi.org/10.3767/003158513X675925)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))",,,,,,,,
,590caa33734d1d5ecfe897ad,Sirodesmium olivaceum,305967,DE3C0D09-AC34-4473-98D6-B17CC5D25828,Sirodesmium olivaceum,20,Saprotroph,Wood Saprotroph,Highly Probable,Microfungus,NULL,Syn. Coniosporium olivaceum; In contignationibus e Pino maritima factis in Lusitania occurrit (Link 1809),Link HF. 1809. Magazin der Gesellschaft Naturforschenden Freunde Berlin 33-42,,,,,,,,
,590caa45734d1d5ecfe897d4,Sirodesmium,9929,FA915CF2-264C-467D-8EA1-6482872D170E,Sirodesmium,13,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Highly Probable,Microfungus,NULL,NULL,"Link HF. 1809. Magazin der Gesellschaft Naturforschenden Freunde Berlin 33-42; Chandra S, Tandon RN. 1965. Current Science 34257-260",,,,,,,,
,58f450ee791497fd28ebd740,Asterophora,"c(39021, 7267, 39022)","C(8BEF986D-8538-4971-B75B-7937C75F975D,1CB1C4C9-36B9-11D5-9548-00D0592D548C,7C77B78D-318E-4ED9-8878-4DB654D148ED)",Asterophora,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ee791497fd28ebdcc9,Collybia cirrhata,"c(456836, 243375)","C(96B07FD6-E2CD-4497-ADA1-93AEFCC84D32,8CA449F7-EAB0-492E-90E8-0B91E792469B)",Collybia cirrhata,20,Pathotroph,Fungal Parasite,Highly Probable,Agaricoid,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ee791497fd28ebe140,Entoloma pseudoparasiticum,"c(133104, 361990)","C(B0ACCB0A-6620-4B9F-B3E7-A361F9A599FB,EDCD8782-A248-4659-82E7-F25DDAF64489)",Entoloma pseudoparasiticum,20,Pathotroph,Fungal Parasite,Highly Probable,Agaricoid,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebe4bc,Harziella,"c(8459, 8460)","C(A7422FCC-3B6D-4B22-A328-471BCFC9BCE1,064C2363-D60F-4033-A7E8-35ACEF46EE84)",Harziella,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebe4e8,Helminthosphaeria hyphodermiae,265005,NA,Helminthosphaeria hyphodermiae,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebe60f,Hypocrea scutellaeformis,580997,NA,Hypocrea scutellaeformis,20,Pathotroph,Fungal Parasite,Highly Probable,Microfungus,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebe61f,Hypomyces aurantius,"c(192954, 192984)","C(1CB18E87-36B9-11D5-9548-00D0592D548C,2AE84DBF-9AAE-42DB-BAFF-989D4E337617)",Hypomyces aurantius,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebe90c,Lyophyllum tricolor,NA,NA,Lyophyllum tricolor,20,Pathotroph,Fungal Parasite,Highly Probable,Agaricoid,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebec36,Neobaria,NA,NA,Neobaria,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebec37,Neobaria danica,NA,NA,Neobaria danica,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebecad,Nitschkia grevillei,120564,NA,Nitschkia grevillei,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebf22b,Polydesmi,NA,NA,Polydesmi,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebf22c,Polydesmi pruinosa,NA,NA,Polydesmi pruinosa,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebf8dc,Stibella,NA,NA,Stibella,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebf8dd,Stibella byssiseda,NA,NA,Stibella byssiseda,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebf8de,Stibella flavipes,NA,NA,Stibella flavipes,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebfaa4,Tremella aurantia,"c(218255, 217903)","C(16468693-07CF-4627-BFAA-A8CD39BA1997,DD1B1172-46A7-4D33-9F60-6617A8A9B03A)",Tremella aurantia,20,Pathotroph,Fungal Parasite,Highly Probable,Facultative Yeast,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebfab9,Tremella mesenterica,"c(493480, 154470, 493479)","C(6157366D-8645-4A58-A435-A5CE8EBA7799,1CB1A7F0-36B9-11D5-9548-00D0592D548C,CFA3124A-C41F-4C54-BE18-F4E0D73092F0)",Tremella mesenterica,20,Pathotroph,Fungal Parasite,Highly Probable,Facultative Yeast-Tremelloid,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebfabe,Tremella obscura,"c(227242, 306993)","C(45C59695-F53A-423A-9AD8-ACAA560C822E,1CB1B993-36B9-11D5-9548-00D0592D548C)",Tremella obscura,20,Pathotroph,Fungal Parasite,Highly Probable,Facultative Yeast,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ef791497fd28ebfb00,Trichoderma strictiple,NA,NA,Trichoderma strictiple,20,Pathotroph,Fungal Parasite,Highly Probable,Microfungus,NULL,NULL,List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)),,,,,,,,
,58f450ee791497fd28ebe0bc,Elaphocordyceps,504191,ED090349-ED93-43DF-8769-5B1CA3DAA280,Elaphocordyceps,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,"List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)); Samuels GJ. 2007, self-published; Sung G-H, et al. 2007. Studies in Mycology 57:5-59.",,,,,,,,
,58f450ee791497fd28ebd6e8,Ascocodinaea,27833,732038D4-6734-4AC5-AE3C-9E8BCA06A1A5,Ascocodinaea,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,"List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)); Samuels GJ. 2007, self-published.",,,,,,,,
,58f450ee791497fd28ebdda0,Cosmospora,1273,1CB1C593-36B9-11D5-9548-00D0592D548C,Cosmospora,13,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,NULL,"List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)); Samuels GJ. 2007, self-published.",,,,,,,,
,58f450ef791497fd28ebe605,Hypocrea cinereoflava,437471,7C3B7CAA-8EE5-4726-B9FC-445A96B17944,Hypocrea cinereoflava,20,Pathotroph,Fungal Parasite,Highly Probable,Microfungus,NULL,Occurs on species of Hymenochaetaceae,"List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)); Samuels GJ. 2007, self-published.",,,,,,,,
,58f450ef791497fd28ebe60a,Hypocrea latizonata,240417,C6036369-DBD8-492A-97DB-EC915370217C,Hypocrea latizonata,20,Pathotroph,Fungal Parasite,Highly Probable,Microfungus,NULL,Occurs on Cytahus striatus,"List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)); Samuels GJ. 2007, self-published.",,,,,,,,
,58f450ef791497fd28ebec3c,Neobarya parasitica,103609,1CB19618-36B9-11D5-9548-00D0592D548C,Neobarya parasitica,20,Pathotroph,Fungal Parasite,Highly Probable,NULL,NULL,Occurs mostly on Bertia moriformis,"List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf)); Samuels GJ. 2007, self-published.",,,,,,,,
,58f450ee791497fd28ebdd68,Corneroboletus,561839,4AC27223-4DE3-4126-9919-28391F806BDB,Corneroboletus,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ee791497fd28ebe305,Gastrosuillus,25303,254B9C59-5086-444A-BAEE-57A1D1D6D9FC,Gastrosuillus,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Secotioid,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebe510,Hemileccinum,511891,91FC3BC1-AE6A-44D6-B47B-874D696B31AC,Hemileccinum,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebe6c0,Kalapuya,513040,9782400F-575C-4DAD-87B8-7944BE50735D,Kalapuya,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebe73c,Lactifluus,17896,9420C7DE-1F85-479E-9490-C0DC92944580,Lactifluus,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebe99f,Mattirolomyces,3026,8AE39D2E-083A-4082-B9E1-D62E879CD460,Mattirolomyces,13,Symbiotroph,Ectomycorrhizal,Possible,NULL,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebf841,Spongiforma,512541,3D60685E-994D-416D-B31D-2E3C735A9F06,Spongiforma,13,Symbiotroph,Ectomycorrhizal,Probable,Sponge-like,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebf92c,Stouffera,519284,E03EF3C3-8B20-454C-A21C-32373DB3EDC0,Stouffera,13,Symbiotroph,Ectomycorrhizal,Possible,NULL,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450ef791497fd28ebf9ce,Temperantia,519286,C5A1D42F-C387-4936-8BD1-C11F57014537,Temperantia,13,Symbiotroph,Ectomycorrhizal,Possible,NULL,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,58f450f1791497fd28ebfcf0,Xerocomellus,511890,6B27F98B-5519-4199-87B4-5BC2D24A444C,Xerocomellus,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Boletoid,NULL,NULL,List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga,,,,,,,,
,591a92f9791497fd28ec1a9e,Allophaeosphaeria,550997,D4707250-E720-4A9A-948E-1AF0920104C0,Allophaeosphaeria,13,Saprotroph,Wood Saprotroph,Highly Probable,Microfungus,NULL,On dead wood (Liu et al. 2015),"Liu JK, et al. 2015. Fungal Diversity 721-197",,,,,,,,
,591a92f9791497fd28ec1aaa,Amphibambusa,550940,6A5AF82D-4063-4F11-8FA8-321E69A83B56,Amphibambusa,13,Saprotroph,Plant Saprotroph,Highly Probable,Microfungus,NULL,On dead culm of bamboo (Liu et al. 2015),"Liu JK, et al. 2015. Fungal Diversity 721-197",,,,,,,,
,591a92f9791497fd28ec1ae6,Bandonia,814775,C8130CD7-A07A-4069-A19B-54E1A9977517,Bandonia,13,Saprotroph,Wood Saprotroph,Possible,Yeast,NULL,Marine yeast ( Liu et al. 2015),"Liu X-Z, et al. 2015. Studies in Mycology 811-26",,,,,,,,
,591a92f9791497fd28ec1ad2,Asterotremella,39024,339D21A3-B040-447F-84C0-0FAF1D45B7DE,Asterotremella,13,Pathotroph-Saprotroph,Fungal Parasite-Soil Saprotroph,Probable,Yeast,NULL,Isolated from forest soil and murshooms (Liu et al. 2011),"Liu Y-R, et al. 2011. Antonie van Leeuwenhoek 99643-650",,,,,,,,
,5b4aba32fb6fc062bcfcaf11,Hebelomataceae,81868,NA,Hebelomataceae,9,Symbiotroph,Ectomycorrhizal,Possible,Agaricoid,NULL,NULL,Locquin MV. 1977. Flore Mycologique 3146,,,,,,,,
x,5965b8c3c80c5ec66f3ad7f3,Cuphophyllus,25612,0594E096-17AC-4D90-8A4D-23D80C2C358E,Cuphophyllus,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Highly Probable,Agaricoid,NULL,"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants (Seitzman et al. 2011)","Seitzman BH, et al. 2011. Mycologia 103:280-290 ((https://doi.org/10.3852/10-195)); Lodge J., et al. 2014. Fungal Diversity 64:1-99 ((https://doi.org/10.1007/s13225-013-0259-0)); Lodge J. 2014. Omphalina 5:2-6 ((https://www.fs.fed.us/nrs/pubs/jrnl/2014/nrs_2014_lodge_001.pdf))",,,,,,,,
x,5965b8c3c80c5ec66f3ad7f6,Gliophorus,17657,1CB1C765-36B9-11D5-9548-00D0592D548C,Gliophorus,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Highly Probable,Agaricoid,NULL,"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants (Seitzman et al. 2011)","Seitzman BH, et al. 2011. Mycologia 103:280-290 ((https://doi.org/10.3852/10-195)); Lodge J., et al. 2014. Fungal Diversity 64:1-99 ((https://doi.org/10.1007/s13225-013-0259-0)); Lodge J. 2014. Omphalina 5:2-6 ((https://www.fs.fed.us/nrs/pubs/jrnl/2014/nrs_2014_lodge_001.pdf))",,,,,,,,
x,5965b8c3c80c5ec66f3ad7f7,Gloioxanthomyces,804073,E6151C8F-9924-4313-9359-14D816624534,Gloioxanthomyces,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Highly Probable,Agaricoid,NULL,"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants (Seitzman et al. 2011)","Seitzman BH, et al. 2011. Mycologia 103:280-290 ((https://doi.org/10.3852/10-195)); Lodge J., et al. 2014. Fungal Diversity 64:1-99 ((https://doi.org/10.1007/s13225-013-0259-0)); Lodge J. 2014. Omphalina 5:2-6 ((https://www.fs.fed.us/nrs/pubs/jrnl/2014/nrs_2014_lodge_001.pdf))",,,,,,,,
x,5965b8c3c80c5ec66f3ad7f5,Neohygrocybe,18120,1CB1C952-36B9-11D5-9548-00D0592D548C,Neohygrocybe,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Highly Probable,Agaricoid,NULL,"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants (Seitzman et al. 2011)","Seitzman BH, et al. 2011. Mycologia 103:280-290 ((https://doi.org/10.3852/10-195)); Lodge J., et al. 2014. Fungal Diversity 64:1-99 ((https://doi.org/10.1007/s13225-013-0259-0)); Lodge J. 2014. Omphalina 5:2-6 ((https://www.fs.fed.us/nrs/pubs/jrnl/2014/nrs_2014_lodge_001.pdf))",,,,,,,,
