completed,oid,taxon,mbNumber,guid,CORRECT_taxon,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,,,,,,,,
,5989da5bf36d28307e5ff962,Astraeaceae,81723,NA,Astraeaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Gasteroid,NULL,"On the ground, ectomycorrhizal with woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,59b2c9ec734d1d2c1613b816,Bacidiaceae,80507,NA,Bacidiaceae,9,Symbiotroph,Lichenized,Probable,Thallus,NULL,"Lichenized with green algae, with occasional lichenicolous species, on rocks and bark (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,59c5343e734d1d41c814218e,Boreostereaceae,81743,NA,Boreostereaceae,9,Saprotroph,Wood Saprotroph,Probable,Corticioid-Polyporoid,NULL,"Species are active wood decayers, including the brown and white rots of conifers and broadleafed trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,59c539ca734d1d41c8142546,Brefeldiellaceae,80534,NA,Brefeldiellaceae,9,Symbiotroph,Epiphyte,Probable,Microfungus,NULL,Biotroph on leaves (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,59d3bb7ef36d286c005e776a,Cantharellaceae,80552,NA,Cantharellaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,Species form ectomycorrhizas with coniferous and broadleaved trees (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,59dfe235734d1d76fed8bee3,Catabotrydaceae,NA,NA,Catabotrydaceae,9,Saprotroph,Plant Saprotroph,Probable,Microfungus,NULL,"Saprobic on palm fronds, possibly with an initial endophytic phase (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5a4eff85734d1d089c5ba351,Cerinomycetaceae,81748,NA,Cerinomycetaceae,9,Saprotroph,Wood Saprotroph,Probable,Microfungus,NULL,"Little is known, species are likely to be saprobic on rotten wood (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5a555745f36d283b161b8f7c,Christianseniaceae,81953,NA,Christianseniaceae,9,Pathotroph,Fungal Parasite,Possible,Gall-Like,NULL,"Mycoparasitic on agarics, corticioid fungi and Leotiales, often forming galls (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5a55587df36d283b161b9010,Chrysothricaceae,80592,NA,Chrysothricaceae,9,Symbiotroph,Lichenized,Highly Probable,Thallus,NULL,"Lichenized with green algae, especially on wood (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5a77dc41734d1d3bd58d17be,Exidiaceae,81672,NA,Exidiaceae,9,Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph,Probable,Tremelloid,NULL,Saprobic or possibly weakly parasitic on wood and bark (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5b217c19e7179a5892815fa3,Lycoperdaceae,NA,NA,Lycoperdaceae,9,Saprotroph,Undefined Saprotroph,Probable,Gasteroid,NULL,"Common name - puffball; Primarily saprobes in grassland and woodland, with some species commonly forming typical fairy rings (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5b31005fe7179a5b7ab92234,Nidulariaceae,81878,NA,Nidulariaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,Gasteroid,NULL,"Common name - birds nest fungus; Saprobic on dead plant material or dung, especially common on dead grass stems (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
x,58f450ef791497fd28ebea3e,Microascus,3153,1CB19376-36B9-11D5-9548-00D0592D548C         ,Microascus,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,Microfungus,NULL,"Saprobic in soil or rotting vegetation, some species heat-tolerant and associatated with silage and compost, a few associated with humans and animals (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)) ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf; as Endophyte)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008; as Animal Pathogen))",,,,,,,,
,5a7539bd734d1d3bd58c4f14,Clavulinaceae,80610,,Clavulinaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Lichenized-Wood Saprotroph,Possible,Clavarioid,NULL,"Some species form ectomycorrhizas, with fruit bodies in leaf litter and on soil. Others are probably saprobes associated with rotten wood (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Nelsen MP, et al. 2007. American Journal of Botany 94:1289-1296 ((https://doi.org/10.3732/ajb.94.8.1289))",,,,,,,,
,58f450ef791497fd28ebeee4,Peziza,3859,1CB1C9D9-36B9-11D5-9548-00D0592D548C,Peziza,13,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Possible,Pezizoid,NULL,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte)",,,,,,,,
